contig	length_kb_after_refinement	contig_length_refined	lowest_taxon	provirus	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	Host_genus	Lifestyle_replidec	GOI_PAPS reductase	GOI_Levanase	GOI_Glucosyltransferase	GOI_PnuC	GOI_Chitinase	GOI_cysH	GOI_chitinase	GOI_levanase	GOI_pnuc	GOI_glucosyltransferase
NODE_A1_length_147420_cov_183.361863_RO_17381_sum_rec_d	147.42	FALSE	novel_genus_2_of_novel_subfamily_8_of_Herelleviridae	No	169	64	0	High-quality	High-quality	98.1	AAI-based (medium-confidence)	0	unknown	Virulent	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NODE_A1_length_38717_cov_24.980047_BE_16563_spr_rec_d	38.717	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	46	3	0	Medium-quality	Genome-fragment	63.07	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_40854_cov_47.014028_PT_19410_sum_mid_d	40.854	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_1_of_novel_order_166_of_Caudoviricetes	No	61	20	2	Medium-quality	Genome-fragment	82.25	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A1_length_47758_cov_115.249701_PT_19414_spr_mid_d	47.758	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_28_of_novel_order_111_of_Caudoviricetes	No	74	42	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A1_length_50003_cov_64.571566_NL_19100_aut_mid_d	50.003	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	55	11	1	Medium-quality	Genome-fragment	80.76	AAI-based (medium-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_50164_cov_64.828059_PT_19411_sum_rec_d	50.164	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	56	11	1	Medium-quality	Genome-fragment	80.56	AAI-based (medium-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_52615_cov_196.278161_CH_17689_aut_mid_d	52.615	FALSE	novel_genus_14_of_novel_subfamily_0_of_novel_family_26_of_novel_order_111_of_Caudoviricetes	No	85	36	2	Complete	High-quality	100	DTR (high-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A1_length_53886_cov_646.601145_FR_19770_aut_mid_d	53.886	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_6_of_novel_order_149_of_Caudoviricetes	No	98	11	2	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A1_length_55924_cov_35.799703_DE_18033_spr_mid_d	55.924	FALSE	novel_genus_2_of_novel_subfamily_2_of_novel_family_12_of_novel_order_110_of_Caudoviricetes	No	75	47	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A1_length_60988_cov_166.536619_PT_19407_spr_ile_d	60.988	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	72	9	1	Complete	High-quality	100	DTR (medium-confidence)	0	unknown	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_61968_cov_128.707647_DE_18033_aut_mid_d	61.968	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_2_of_novel_order_159_of_Caudoviricetes	No	69	23	2	Medium-quality	Genome-fragment	73.59	AAI-based (high-confidence)	0	unknown	Temperate	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NODE_A1_length_62210_cov_25.799044_FR_19772_spr_rec_d	62.21	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	77	9	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_62960_cov_112.012404_FR_19772_sum_rec_d	62.96	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	76	9	1	High-quality	High-quality	91.11	HMM-based (lower-bound)	0	unknown	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_63711_cov_102.568517_CH_17687_sum_rec_d	63.711	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	78	13	1	Complete	High-quality	100	DTR (high-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_64877_cov_246.015432_BE_16558_sum_rec_d	64.877	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	77	14	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A1_length_68486_cov_85.647897_BE_16556_aut_ile_d	82.994	TRUE	novel_genus_0_of_novel_subfamily_0_of_novel_family_4_of_novel_order_55_of_Caudoviricetes	No	96	38	1	Medium-quality	Genome-fragment	71.96	AAI-based (medium-confidence)	0	unknown	Virulent	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A1_length_73530_cov_277.772249_RO_17363_spr_mid_d	73.53	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_2_of_novel_order_159_of_Caudoviricetes	No	95	23	1	Medium-quality	Genome-fragment	87.85	AAI-based (high-confidence)	0	Apilactobacillus	Temperate	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE
NODE_A1_length_76623_cov_51.863481_NL_19104_aut_ile_d	76.623	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_1_of_novel_order_132_of_Caudoviricetes	No	127	19	0	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A20_length_19575_cov_35.813930_PT_19410_spr_rec_d	19.575	FALSE	novel_genus_0_of_novel_subfamily_3_of_Peduoviridae	No	30	19	0	Medium-quality	Genome-fragment	60.83	AAI-based (medium-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A20_length_31975_cov_68.824409_UK_14502_sum_mid_d	31.975	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_7_of_Caudoviricetes	No	55	18	1	High-quality	High-quality	98.27	AAI-based (high-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A21_length_28752_cov_27.936635_NL_20378_spr_rec_d	28.752	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_1_of_novel_order_43_of_Caudoviricetes	No	48	8	0	Medium-quality	Genome-fragment	51.32	AAI-based (medium-confidence)	0	Bacteroides	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A25_length_32356_cov_23.103690_NL_19104_aut_rec_d	32.356	FALSE	novel_genus_1_of_novel_subfamily_1_of_novel_family_1_of_novel_order_141_of_Caudoviricetes	No	43	4	0	Medium-quality	Genome-fragment	76.55	AAI-based (high-confidence)	0	unknown	Virulent	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A29_length_24947_cov_15.079574_PT_19413_sum_rec_d	24.947	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_0_of_novel_order_3_of_Caudoviricetes	No	36	3	0	Medium-quality	Genome-fragment	53.65	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A2_length_139492_cov_227.514672_CH_17692_sum_rec_d	139.492	FALSE	novel_genus_0_of_novel_subfamily_8_of_Herelleviridae	No	141	55	1	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Virulent	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NODE_A2_length_32063_cov_15.566779_NL_19104_sum_mid_d	32.063	FALSE	novel_genus_6_of_novel_subfamily_8_of_Peduoviridae	No	41	26	0	High-quality	High-quality	92.31	AAI-based (medium-confidence)	0	Zymobacter	Temperate	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A2_length_43579_cov_179.322445_BE_16562_sum_mid_d	43.579	FALSE	novel_genus_1_of_novel_subfamily_1_of_novel_family_4_of_novel_order_107_of_Caudoviricetes	No	70	41	2	Complete	High-quality	100	DTR (high-confidence)	0	Frischella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A2_length_44324_cov_86.874703_PT_19407_aut_mid_d	44.324	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_20_of_novel_order_111_of_Caudoviricetes	No	63	30	1	High-quality	High-quality	95.53	AAI-based (medium-confidence)	0	Erwinia	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A2_length_44969_cov_51.188675_PT_19409_aut_mid_d	44.969	FALSE	novel_genus_12_of_novel_subfamily_0_of_novel_family_28_of_novel_order_111_of_Caudoviricetes	No	66	29	0	High-quality	High-quality	94.98	AAI-based (medium-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A2_length_49406_cov_132.288248_UK_14501_spr_rec_d	49.406	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	53	14	1	Medium-quality	Genome-fragment	79.52	AAI-based (medium-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A2_length_51513_cov_83.671961_NL_19104_aut_mid_d	51.513	FALSE	novel_genus_8_of_novel_subfamily_0_of_novel_family_26_of_novel_order_111_of_Caudoviricetes	No	81	42	1	Complete	High-quality	100	DTR (high-confidence)	0	Gilliamella	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A2_length_53539_cov_25.264468_DE_18029_spr_rec_d	53.539	FALSE	novel_genus_0_of_novel_subfamily_2_of_novel_family_1_of_novel_order_120_of_Caudoviricetes	No	81	26	0	Complete	High-quality	100	DTR (high-confidence)	0	Rhodoferax	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A2_length_60588_cov_22.004330_FR_19768_sum_rec_d	60.588	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_5_of_novel_order_150_of_Caudoviricetes	No	76	11	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	unknown	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A2_length_62530_cov_63.541383_RO_17363_sum_rec_d	62.53	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	76	9	0	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A2_length_62741_cov_73.680024_RO_17378_sum_rec_d	62.741	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	73	13	1	Complete	High-quality	100	ITR (high-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A2_length_72276_cov_4315.735550_NL_19101_aut_rec_d	72.276	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	81	13	2	Complete	High-quality	100	DTR (high-confidence)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A2_length_83442_cov_104.378276_PT_19408_sum_rec_d	83.442	FALSE	novel_genus_0_of_Ounavirinae	No	122	69	0	Complete	High-quality	100	DTR (high-confidence)	0	unknown	Virulent	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A3_length_31309_cov_22.437180_DE_18032_sum_mid_d	31.309	FALSE	novel_genus_0_of_novel_subfamily_7_of_novel_family_6_of_novel_order_99_of_Caudoviricetes	No	43	18	0	Medium-quality	Genome-fragment	82.48	AAI-based (high-confidence)	0	Rhodoferax	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A3_length_35019_cov_23.526272_RO_17363_spr_mid_d	35.019	FALSE	novel_genus_0_of_novel_subfamily_9_of_novel_family_0_of_novel_order_115_of_Caudoviricetes	No	57	18	1	Medium-quality	Genome-fragment	67.14	AAI-based (medium-confidence)	0	Bombella	Temperate	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A3_length_41202_cov_85.258942_BE_16559_spr_rec_d	41.202	FALSE	novel_genus_1_of_novel_subfamily_8_of_Herelleviridae	No	54	13	0	Medium-quality	Genome-fragment	53.57	HMM-based (lower-bound)	0	unknown	Temperate	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NODE_A3_length_43123_cov_73.332249_PT_19414_spr_rec_d	43.123	FALSE	novel_genus_1_of_novel_subfamily_8_of_Herelleviridae	No	62	17	0	Medium-quality	Genome-fragment	58.93	HMM-based (lower-bound)	0	unknown	Temperate	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NODE_A3_length_44098_cov_84.052566_DE_18027_aut_rec_d	44.098	FALSE	novel_genus_1_of_novel_subfamily_0_of_novel_family_3_of_novel_order_91_of_Caudoviricetes	No	44	12	0	Medium-quality	Genome-fragment	62.68	HMM-based (lower-bound)	0	Bartonella	Temperate	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
NODE_A3_length_44338_cov_21.794085_CH_17691_sum_rec_d	44.338	FALSE	novel_genus_1_of_novel_subfamily_1_of_novel_family_26_of_novel_order_111_of_Caudoviricetes	No	63	36	0	High-quality	High-quality	94.57	AAI-based (medium-confidence)	0	unknown	Temperate	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
NODE_A3_length_44400_cov_93.683167_NL_19104_spr_mid_d	44.4	FALSE	novel_genus_1_of_novel_subfamily_1_of_novel_family_1_of_novel_order_107_of_Caudoviricetes	No	73	33	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	unknown	Virulent	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A3_length_45605_cov_104.639321_PT_19412_sum_mid_d	45.605	FALSE	novel_genus_0_of_novel_subfamily_1_of_novel_family_0_of_novel_order_109_of_Caudoviricetes	No	68	33	0	High-quality	High-quality	92.77	AAI-based (medium-confidence)	0	Pectobacterium	Temperate	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A3_length_47174_cov_487.799414_PT_19411_spr_mid_d	47.174	FALSE	novel_genus_26_of_novel_subfamily_0_of_novel_family_26_of_novel_order_111_of_Caudoviricetes	No	74	46	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	Brenneria	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A3_length_49905_cov_25.785020_BE_16562_aut_mid_d	49.905	FALSE	novel_genus_0_of_novel_subfamily_0_of_novel_family_1_of_novel_order_58_of_Caudoviricetes	No	55	15	0	Medium-quality	Genome-fragment	67.6	AAI-based (medium-confidence)	0	unknown	Virulent	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
NODE_A3_length_73628_cov_24.519327_BE_16556_sum_rec_d	73.628	FALSE	novel_genus_11_of_Enquatrovirinae|Rothmandenesvirinae|Erskinevirinae	No	85	54	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	Erwinia	Virulent	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A4_length_24808_cov_495.931543_PT_19408_spr_rec_d	40.384	TRUE	novel_genus_0_of_novel_subfamily_4_of_novel_family_4_of_novel_order_107_of_Caudoviricetes	No	35	23	0	Medium-quality	Genome-fragment	58.38	AAI-based (medium-confidence)	0	Acinetobacter	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
NODE_A4_length_34306_cov_133.390809_NL_19100_sum_rec_d	34.306	FALSE	novel_genus_2_of_novel_subfamily_0_of_novel_family_1_of_novel_order_97_of_Caudoviricetes	No	58	24	0	Complete	High-quality	100	DTR (high-confidence)	0	Pseudotabrizicola	Temperate	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
